TeacherID,Date,LoginTime,LogoutTime,PunctualityScore,StudentFeedbackScore,ClassEngagementScore,OverallPerformanceScore,Qualification,YearsOfExperience
42,2024-09-11,14:50,21:50,9,7,7,7.666666666666667,M.Ed,2
43,2024-09-12,15:00,22:00,8,8,7,7.666666666666667,M.Ed,29
44,2024-09-13,15:10,22:10,7,7,8,7.333333333333333,M.Sc,9
45,2024-09-14,15:20,22:20,9,7,9,8.333333333333334,B.Sc,27
46,2024-09-15,15:30,22:30,9,7,8,8.0,M.Ed,6
47,2024-09-16,15:40,22:40,8,7,8,7.666666666666667,B.Sc,17
48,2024-09-17,15:50,22:50,7,8,8,7.666666666666667,M.Sc,20
49,2024-09-18,16:00,23:00,9,9,9,9.0,B.Sc,21
50,2024-09-19,16:10,23:10,9,8,7,8.0,PhD,24
51,2024-09-20,16:20,23:20,9,7,8,8.0,PhD,20
52,2024-09-21,16:30,23:30,7,8,9,8.0,PhD,14
53,2024-09-22,16:40,23:40,9,9,9,9.0,B.Ed,18
54,2024-09-23,16:50,23:50,7,7,9,7.666666666666667,M.Sc,18
55,2024-09-24,17:00,00:00,9,8,7,8.0,M.Sc,13
56,2024-09-25,17:10,00:10,9,7,7,7.666666666666667,B.Ed,29
57,2024-09-26,17:20,00:20,9,8,7,8.0,B.Ed,7
58,2024-09-27,17:30,00:30,9,8,7,8.0,B.Sc,7
59,2024-09-28,17:40,00:40,9,7,7,7.666666666666667,B.Sc,4
60,2024-09-29,17:50,00:50,9,7,7,7.666666666666667,B.Ed,9
61,2024-09-30,18:00,01:00,8,8,8,8.0,PhD,5
62,2024-10-01,18:10,01:10,8,8,7,7.666666666666667,M.Sc,9
63,2024-10-02,18:20,01:20,7,8,9,8.0,B.Ed,18
64,2024-10-03,18:30,01:30,9,8,9,8.666666666666666,M.Sc,16
65,2024-10-04,18:40,01:40,8,8,7,7.666666666666667,M.Sc,7
66,2024-10-05,18:50,01:50,7,9,9,8.333333333333334,B.Ed,1
67,2024-10-06,19:00,02:00,9,9,9,9.0,PhD,17
68,2024-10-07,19:10,02:10,8,8,7,7.666666666666667,M.Sc,6
69,2024-10-08,19:20,02:20,9,8,7,8.0,M.Ed,29
70,2024-10-09,19:30,02:30,9,7,7,7.666666666666667,B.Sc,26
71,2024-10-10,19:40,02:40,9,9,8,8.666666666666666,PhD,19
72,2024-10-11,19:50,02:50,7,8,9,8.0,B.Ed,5
73,2024-10-12,20:00,03:00,9,8,7,8.0,M.Ed,27
74,2024-10-13,20:10,03:10,7,8,7,7.333333333333333,M.Ed,13
75,2024-10-14,20:20,03:20,9,7,7,7.666666666666667,PhD,15
76,2024-10-15,20:30,03:30,7,7,7,7.0,PhD,18
77,2024-10-16,20:40,03:40,7,9,9,8.333333333333334,PhD,27
78,2024-10-17,20:50,03:50,8,9,7,8.0,B.Ed,14
79,2024-10-18,21:00,04:00,9,8,8,8.333333333333334,B.Sc,25
80,2024-10-19,21:10,04:10,9,7,8,8.0,M.Ed,9
81,2024-10-20,21:20,04:20,8,7,8,7.666666666666667,B.Ed,2
82,2024-10-21,21:30,04:30,9,7,7,7.666666666666667,M.Ed,19
83,2024-10-22,21:40,04:40,7,9,7,7.666666666666667,M.Ed,23
84,2024-10-23,21:50,04:50,8,7,7,7.333333333333333,M.Ed,11
85,2024-10-24,22:00,05:00,9,9,8,8.666666666666666,PhD,4
86,2024-10-25,22:10,05:10,8,7,8,7.666666666666667,PhD,8
87,2024-10-26,22:20,05:20,8,7,9,8.0,B.Sc,23
88,2024-10-27,22:30,05:30,9,7,8,8.0,PhD,4
89,2024-10-28,22:40,05:40,8,8,9,8.333333333333334,M.Ed,9
90,2024-10-29,22:50,05:50,8,7,7,7.333333333333333,B.Ed,19
91,2024-10-30,23:00,06:00,9,9,9,9.0,B.Sc,16
92,2024-10-31,23:10,06:10,7,8,9,8.0,B.Ed,13
93,2024-11-01,23:20,06:20,7,8,7,7.333333333333333,M.Sc,23
94,2024-11-02,23:30,06:30,8,7,8,7.666666666666667,M.Ed,17
95,2024-11-03,23:40,06:40,7,7,7,7.0,B.Sc,25
96,2024-11-04,23:50,06:50,8,8,9,8.333333333333334,B.Sc,16
97,2024-11-05,00:00,07:00,7,7,8,7.333333333333333,M.Ed,16
98,2024-11-06,00:10,07:10,9,7,8,8.0,M.Sc,8
99,2024-11-07,00:20,07:20,7,8,8,7.666666666666667,PhD,24
100,2024-11-08,00:30,07:30,7,9,8,8.0,B.Ed,3
